Fig. 2a												
Plastisphere												
Weeks	TAN (mmol L-1)			NO2--N (mmol L-1)			NO3--N (mmol L-1)			TIN removal efficiency (%)		
1	0.08 	0.08 	0.08 	0.24 	0.25 	0.25 	0.23 	0.22 	0.22 	2.99	2.48	3.53
2	0.13 	0.15 	0.15 	0.15 	0.15 	0.15 	0.06 	0.04 	0.06 	40.99	40.73	38.01
3	0.01 	0.01 	0.01 	0.30 	0.29 	0.29 	0.19 	0.19 	0.19 	14.2	14.86	14.25
4	0.01 	0.01 	0.01 	0.43 	0.44 	0.43 	0.12 	0.13 	0.13 	1.88	-1.45	0.21
5	0.01 	0.01 	0.01 	0.20 	0.21 	0.20 	0.21 	0.21 	0.21 	26.46	25.98	26.39
7	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.31 	0.35 	0.31 	43.09	35.37	42.54
8	0.01 	0.01 	0.01 	0.13 	0.13 	0.13 	0.31 	0.32 	0.32 	20.41	18.34	19.85
9	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.29 	0.30 	0.29 	47.13	45.04	46.88
10	0.01 	0.01 	0.01 	0.00 	0.00 	0.00 	0.39 	0.38 	0.39 	30.28	32.53	30.59
12	0.01 	0.01 	0.01 	0.00 	0.00 	0.00 	0.39 	0.40 	0.40 	29.24	28.01	28.51
14	0.01 	0.01 	0.01 	0.00 	0.00 	0.00 	0.31 	0.32 	0.31 	42.92	41.98	42.79
15	0.03 	0.03 	0.03 	0.00 	0.00 	0.00 	0.33 	0.34 	0.33 	36.22	34.83	36.13
16	0.02 	0.01 	0.02 	0.00 	0.00 	0.00 	0.34 	0.34 	0.34 	37.21	36.97	36.96
17	0.02 	0.02 	0.02 	0.00 	0.00 	0.00 	0.32 	0.32 	0.32 	40.43	40.42	40.38
18	0.01 	0.01 	0.01 	0.00 	0.00 	0.00 	0.32 	0.33 	0.33 	41.79	40.77	41.17
19	0.02 	0.01 	0.02 	0.00 	0.00 	0.00 	0.34 	0.33 	0.33 	36.59	40.02	38.46
21	0.01 	0.01 	0.01 	0.00 	0.00 	0.00 	0.33 	0.33 	0.33 	40.81	40.24	40.5
22	0.02 	0.02 	0.02 	0.01 	0.01 	0.01 	0.39 	0.37 	0.38 	27.56	30.81	29.28
23	0.01 	0.01 	0.01 	0.00 	0.00 	0.00 	0.32 	0.32 	0.32 	42.41	42.41	42.38
24	0.01 	0.01 	0.01 	0.00 	0.00 	0.00 	0.35 	0.34 	0.35 	37.04	39.08	37.57
25	0.01 	0.01 	0.01 	0.00 	0.00 	0.00 	0.34 	0.34 	0.34 	37.5	37.9	37.61
26	0.01 	0.01 	0.01 	0.00 	0.00 	0.00 	0.34 	0.34 	0.34 	39.01	38.94	38.98
27	0.01 	0.01 	0.01 	0.00 	0.00 	0.00 	0.34 	0.34 	0.34 	38.39	38.53	38.4
28	0.00 	0.00 	0.00 	0.16 	0.16 	0.16 	0.37 	0.38 	0.37 	5.38	5.5	5.55
29	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.46 	0.44 	0.45 	19.13	22.38	20.68
31	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.29 	0.30 	0.30 	48.5	45.88	47.33
32	0.01 	0.01 	0.01 	0.00 	0.00 	0.00 	0.35 	0.36 	0.35 	36.63	35.25	36.5
33	0.01 	0.01 	0.01 	0.00 	0.00 	0.00 	0.25 	0.25 	0.25 	55	54.88	54.94
34	0.01 	0.01 	0.01 	0.00 	0.00 	0.00 	0.24 	0.26 	0.24 	55.5	52	55.32
35	0.01 	0.01 	0.01 	0.00 	0.00 	0.00 	0.27 	0.27 	0.27 	52	50.5	51.19
36	0.01 	0.01 	0.01 	0.00 	0.00 	0.00 	0.25 	0.23 	0.23 	55.25	58.25	57.31
37	0.01 	0.01 	0.01 	0.00 	0.00 	0.00 	0.25 	0.26 	0.25 	55.13	54.13	54.74
38	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.25 	0.25 	0.25 	55.38	55.63	55.4
39	0.01 	0.01 	0.01 	0.00 	0.00 	0.00 	0.26 	0.28 	0.27 	52.5	50.38	51.97
40	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.26 	0.28 	0.27 	53.13	50.88	52.2
41	0.01 	0.02 	0.02 	0.00 	0.00 	0.00 	0.30 	0.30 	0.30 	45.63	45.13	45.22
												
												
Epiphyton												
Weeks	TAN (mmol L-1)			NO2--N (mmol L-1)			NO3--N (mmol L-1)			TIN removal efficiency (%)		
1	0.09 	0.08 	0.08 	0.25 	0.25 	0.25 	0.23 	0.24 	0.23 	0.81	0.94	0.98
2	0.12 	0.11 	0.12 	0.25 	0.25 	0.25 	0.08 	0.07 	0.07 	21.59	23.71	22.87
3	0.01 	0.01 	0.01 	0.16 	0.16 	0.16 	0.02 	0.03 	0.02 	67.06	66.35	66.5
4	0.01 	0.01 	0.01 	0.35 	0.29 	0.33 	0.19 	0.20 	0.20 	3.78	13.36	6.13
5	0.01 	0.01 	0.01 	0.35 	0.35 	0.35 	0.17 	0.17 	0.17 	7.66	7.47	7.54
7	0.01 	0.01 	0.01 	0.00 	0.00 	0.00 	0.28 	0.28 	0.28 	48.59	48.3	48.55
8	0.01 	0.01 	0.01 	0.06 	0.06 	0.06 	0.39 	0.42 	0.39 	21.39	15.4	20.92
9	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.38 	0.39 	0.38 	31.22	29.05	30.44
10	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.44 	0.44 	0.44 	22.47	21.52	22.32
12	0.01 	0.01 	0.01 	0.00 	0.00 	0.00 	0.49 	0.52 	0.51 	11.78	7.46	8.12
14	0.01 	0.01 	0.01 	0.00 	0.00 	0.00 	0.50 	0.49 	0.49 	10.33	13.29	11.68
15	0.02 	0.02 	0.02 	0.00 	0.00 	0.00 	0.48 	0.48 	0.48 	12.7	11.81	12.39
16	0.01 	0.02 	0.02 	0.00 	0.00 	0.00 	0.48 	0.48 	0.48 	14.68	13.12	13.95
17	0.01 	0.02 	0.02 	0.00 	0.00 	0.00 	0.48 	0.46 	0.47 	14.23	15.56	15.03
18	0.01 	0.01 	0.01 	0.00 	0.00 	0.00 	0.49 	0.46 	0.47 	12.5	18.29	16.53
19	0.01 	0.01 	0.01 	0.00 	0.00 	0.00 	0.45 	0.45 	0.45 	19.09	18.89	19.12
21	0.01 	0.01 	0.01 	0.00 	0.00 	0.00 	0.46 	0.46 	0.46 	18.65	18.3	18.58
22	0.02 	0.01 	0.01 	0.00 	0.00 	0.00 	0.49 	0.49 	0.49 	10.9	12.24	11.58
23	0.01 	0.01 	0.01 	0.00 	0.00 	0.00 	0.50 	0.50 	0.50 	11.62	11.69	11.66
24	0.01 	0.01 	0.01 	0.00 	0.00 	0.00 	0.50 	0.50 	0.50 	10.66	10.66	10.66
25	0.01 	0.01 	0.01 	0.00 	0.00 	0.00 	0.47 	0.45 	0.47 	14.96	19.22	16.33
26	0.01 	0.01 	0.01 	0.00 	0.00 	0.00 	0.47 	0.50 	0.49 	14.53	10.86	11.71
27	0.01 	0.01 	0.01 	0.00 	0.00 	0.00 	0.50 	0.49 	0.49 	11.29	13.44	12.41
28	0.01 	0.00 	0.00 	0.05 	0.05 	0.05 	0.50 	0.50 	0.50 	2.63	2.5	2.59
29	0.00 	0.01 	0.00 	0.00 	0.00 	0.00 	0.46 	0.51 	0.48 	18.38	10.13	14.36
31	0.01 	0.00 	0.00 	0.00 	0.00 	0.00 	0.40 	0.41 	0.41 	28.38	27.63	27.99
32	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.41 	0.40 	0.40 	24.75	25.75	25.08
33	0.01 	0.01 	0.01 	0.00 	0.00 	0.00 	0.38 	0.38 	0.38 	31	32.5	32.42
34	0.01 	0.01 	0.01 	0.00 	0.00 	0.00 	0.39 	0.38 	0.38 	29.63	31	30.75
35	0.01 	0.01 	0.01 	0.00 	0.00 	0.00 	0.39 	0.39 	0.39 	30.75	30.88	30.8
36	0.01 	0.01 	0.01 	0.00 	0.00 	0.00 	0.39 	0.39 	0.39 	29.5	30.63	29.95
37	0.00 	0.01 	0.01 	0.00 	0.00 	0.00 	0.39 	0.43 	0.40 	30.25	23.5	28.05
38	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.43 	0.37 	0.40 	24	34.13	29.1
39	0.01 	0.00 	0.00 	0.00 	0.00 	0.00 	0.40 	0.42 	0.42 	28.13	25.63	25.86
40	0.01 	0.01 	0.01 	0.00 	0.00 	0.00 	0.39 	0.38 	0.38 	30.25	32.25	31.58
41	0.01 	0.01 	0.01 	0.00 	0.00 	0.00 	0.37 	0.38 	0.38 	32.88	31.25	32.07
												
												
Fig. 2b												
Plastisphere							Epiphyton					
25 ¡æ			30 ¡æ				25 ¡æ			30 ¡æ		
179.9	173.1	202.3	249.5	247.9	250.3		174.4	169.4	170	190.8	190.7	189.8
198.6	202.3	184	269.5	265.1	268.1		148	136.5	137.7	159.6	159.1	158.3
196.8	173.4	188.7	246	272	259		111.4	117.6	129.1	131.8	134.4	135.7
162.5	157.5	161.7	276.6	207.5	192		97.1	93.3	91.4	130.7	134.1	132.4
192.8	189.9	185	207.9	204.8	205		91.2	80.7	85	163.1	171.2	169.4
182.8	199.9	175	220.4	211.6	216		92.2	85.7	87	133.3	134.7	134
												
												
Fig. 2c												
Plastisphere							Epiphyton					
25 ¡æ			30 ¡æ				25 ¡æ			30 ¡æ		
69.7	71.9	63.2	83.9	85	83.9		56.7	46.8	51.2	61.8	60.7	68.6
47.9	46.8	48.2	81.1	83.2	84.3		33.8	31.6	32.7	66.8	58.9	67.9
63.2	59.9	56.7	87.9	82.5	80.4		27.2	31.6	32.7	61.1	65.4	55.7
65.4	64.3	63.2	76.1	82.5	80.4		25.1	26.1	28.3	72.9	69.6	69.6
68.6	57.7	63.2	85.7	91.1	87.9		30.5	25.1	30.5	76.1	68.6	69.6
62.6	67.7	61.2	94.3	93.2	95.4		28.5	24.1	26.5	49.3	50.4	49.3
												
												
Fig. 2d												
		Denitrification	Nitrification									
25 ¡æ	Plastisphere	2.1	0.088									
	Plastisphere	2.15	0.092									
	Plastisphere	2.08	0.091									
	Epiphyton	1.044	0.058									
	Epiphyton	1.07	0.063									
	Epiphyton	1.226	0.065									
30 ¡æ	Plastisphere	3.721	0.144									
	Plastisphere	3.66	0.16									
	Plastisphere	3.526	0.156									
	Epiphyton	1.783	0.08									
	Epiphyton	1.85	0.094									
	Epiphyton	1.98	0.091									
