Fig. 3a												
	Plastisphere						Epiphyton					
	25 ¡æ 			30 ¡æ 			25 ¡æ 			30 ¡æ 		
Total	4.9	3.7	4.2	13.14	12.96	11.15	2.8	2.9	3	10.34	10.03	9.34
Interior	4.06	3.13	4.24	5.03	4.8	5.2	2.71	2.55	2.5	2.64	3.79	4.08
Surface	1.79	1.83	2.01	4.12	4.32	3.86	3.82	3.15	3.88	5.88	5.52	5.74
												
												
Fig. 3b												
	Plastisphere						Epiphyton					
	25 ¡æ 			30 ¡æ 			25 ¡æ 			30 ¡æ 		
Total	6.48	6.4	6.29	7.04	6.9	6.94	6.15	6.13	6.13	6.25	6.34	6.33
Interior	6.26	6.3	6.22	7	6.9	6.9	6.14	6.14	5.98	6.02	5.96	5.9
Surface	5.33	5.32	5.33	5.88	5.93	5.86	6.02	5.97	5.89	6.3	6.12	6.16
												
												
Fig. 3c												
	Plastisphere						Epiphyton					
	25 ¡æ 			30 ¡æ 			25 ¡æ 			30 ¡æ 		
Total	6.75	6.74	6.73	6.91	6.91	6.91	6.88	6.9	6.88	7.95	7.95	8
Interior	6.84	6.84	6.83	6.88	6.95	6.99	6.97	6.98	6.96	7.91	7.85	7.84
Surface	6.56	6.57	6.57	6.18	6.3	6.04	6.77	6.78	6.77	6.83	6.86	6.89
												
												
Fig. 3d												
	Plastisphere						Epiphyton					
	25 ¡æ 			30 ¡æ 			25 ¡æ 			30 ¡æ 		
Total	4.97	4.77	4.74	5.78	5.67	5.73	4.47	4.58	4.5	5.5	5.48	5.52
Interior	4.62	4.76	4.78	5.54	5.62	5.66	4.52	4.56	4.59	5.33	5.36	5.42
Surface	3.77	3.97	3.66	5.54	5.46	5.49	4.11	4.15	4.15	5.32	5.19	5.13
												
												
Fig. 3e												
	Plastisphere						Epiphyton					
	25 ¡æ 			30 ¡æ 			25 ¡æ 			30 ¡æ 		
Total	5.12	5.06	5.13	5.18	5.05	5	4.92	4.87	4.92	5.19	5.21	5.32
Interior	5.06	5.02	5.09	5.06	5.17	5.19	4.94	4.93	4.93	5.01	5.03	4.98
Surface	4.65	4.6	4.6	4.97	5.13	4.96	4.81	4.8	4.81	4.9	4.9	4.98
												
												
Fig. 3f												
	Plastisphere						Epiphyton					
	25 ¡æ 			30 ¡æ 			25 ¡æ 			30 ¡æ 		
Total	4.59	4.59	4.6	4.25	4.16	4.37	4.36	4.3	4.32	4.22	4.27	4.28
Interior	4.62	4.65	4.6	3.84	3.85	3.84	4.52	4.53	4.51	4.37	4.28	4.02
Surface	4.4	4.42	4.34	4.69	4.74	4.85	4.26	4.14	4.07	3.9	3.97	3.89
												
												
Fig. 3g												
	Plastisphere						Epiphyton					
	25 ¡æ 			30 ¡æ 			25 ¡æ 			30 ¡æ 		
Total	3.73	3.87	3.73	4.6	4.61	4.6	4.25	4.27	4.22	4.43	4.44	4.42
Interior	3.84	3.84	3.5	5.06	5.09	5.05	4.26	4.34	4.24	4.98	4.85	4.84
Surface	2.85	2.83	2.77	4.65	4.64	4.53	3.89	4.04	3.93	4.51	4.53	4.51
