			nosZI-type								nosZII-type																																			
Menaquinone biosynthesis	Futalosine pathway	M00930+01	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
		M00930+02	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1
		M00930+03	0	0	0	0	0	0	0	0	1	2	1	0	1	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	1	1	0	1	1	1	1	1	1	1	0
		M00930+04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1
		M00930+05	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	1	1	0	0	1	1	0	1	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1
		M00930+06	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1
	Modified futalosine pathway	M00931+01	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
		M00931+02	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1
		M00931+03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		M00931+04	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	1	1	0	0	1	1	0	1	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1
		M00931+05	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1
Ubiquinone biosynthesis		M00117+01	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		M00117+02	0	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	1	1	1	0	1	0	1	1	1	0	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1
		M00117+03	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	1	0	0
		M00117+04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		M00117+05	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		M00117+06	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
		M00117+07	1	1	1	1	1	1	2	1	0	1	1	0	1	0	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1
		M00117+08	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		M00117+09	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Denitrification		M00529+01	1	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1	0	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
		M00529+02	0	1	2	2	1	1	1	0	0	0	0	1	3	1	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		M00529+03	0	2	1	2	4	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	1	0	1	0	0	0	0	1	0	0	0	2	1	1	0	0
		M00529+04	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Hydrogenases		Nife-group-1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
		Nife-group-2ade	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
		Nife-group-2bc	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
